steps,ingredients,Unnamed: 2,recipe_steps,standard_format,metric_conversion
"['mix cream cheese and sour cream until a soft mixture', 'add taco seasoning and bean dip', 'add 3 / 4 of cheese and pour into a baking dish', 'add remaining cheese on top', 'bake at 350 deg for 20 to 30 minutes or until golden brown', 'serve with torillla chips']","['cream cheese', 'sour cream', 'taco seasoning', 'bean dip', 'cheddar cheese']",,,"""1 block cream cheese, 1 cup sour cream, 2 tbsp taco seasoning, 1 cup bean dip, 1 cup cheddar cheese""","""115g cream cheese, 240g sour cream, 30g taco seasoning, 240g bean dip, 115g cheddar cheese"""
"['in small mixer bowl beat cream cheese at med', 'speed , scraping bowl often , until light and fluffy add salt , lemon juice , onion , and liquid smoke', 'continue beating until well mixed', 'by hand , stir in salmon', 'spoon into serving bowl and serve with crackers', 'store refrigerated', 'garnish with chives , green onions , olives , pimiento , etc', 'to taste']","['cream cheese', 'salmon', 'salt', 'lemon juice', 'onions', 'liquid smoke']",,,"""1 block cream cheese, 1 can salmon, 1/2 tsp salt, 1 tbsp lemon juice, 1 medium onion, 1/4 tsp liquid smoke""","""225g cream cheese, 120g salmon, 2.5g salt, 15g lemon juice, 115g onions, 1.25g liquid smoke"""
"['coat the meat with 1 / 2 c of flour and the paprika', 'brown in vegetable oil', 'transfer to a casserole dish', 'add can of onions', 'combine one can of the chicken soup and one can water', 'pour over meat and onions', 'bake at 350 for 45 minutes', 'while the meat is baking-- combine 2 c flour , the baking powder , salt , poultry seasoning , celery seed , onion flakes and poppy seeds', 'mix well , and add 1 / 4 c oil and 1 c milk', 'drop tablespoons of dough into breadcrumbs which you have mixed with melted butter', 'put dumplings on top of the meat', 'increase heat to 425 and bake for another 20 minutes', 'make sauce', 'combine one can of cream of chicken soup and sour cream', 'heat sauce and serve over meat and dumplings']","['beef', 'flour', 'paprika', 'onion', 'cream of chicken soup', 'baking powder', 'salt', 'poultry seasoning', 'celery seed', 'dry onion flakes', 'poppy seed', 'vegetable oil', 'milk', 'sour cream', 'butter', 'breadcrumbs']",,,"""1 cup flour, 1/2 cup beef, 1 tsp paprika, 1 onion, 1 can cream of chicken soup, 1 tsp baking powder, 1 tsp salt, 1/2 tsp poultry seasoning, 1/4 tsp celery seed, 1/4 tsp dry onion flakes, 1/4 tsp poppy seed, 1/4 cup vegetable oil, 1 cup milk, 1/2 cup sour cream, 2 tbsp butter, 1 cup breadcrumbs""","""240g flour, 120g beef, 6g paprika, 120g onion, 240g cream of chicken soup, 6g baking powder, 6g salt, 3g poultry seasoning, 1.5g celery seed, 1.5g dry onion flakes, 1.5g poppy seed, 60g vegetable oil, 240g milk, 120g sour cream, 30g butter,"
"['combine eggs , flour , baking powder , salt& pepper with the corn', 'mix thoroughly', 'add cream to mixture', 'melt fat in frying pan& drop corn mixture by spoonfuls into the hot fat', 'brown on both sides', 'serve w / syrup']","['fresh corn', 'eggs', 'flour', 'salt', 'pepper', 'baking powder', 'cream', 'fat']",,,"""1 cup fresh corn, 2 eggs, 2 cups flour, 1/2 tsp salt, 1/4 tsp pepper, 2 tsp baking powder, 1 cup cream, 1/2 cup fat""","""240g fresh corn, 400g eggs, 400g flour, 6g salt, 3g pepper, 10g baking powder, 240g cream, 120g fat"""
"['cook broccoli until tender in the amount of water called for on the package , drain', 'mix together soup mix , cream cheese , sour cream and water chestnuts', 'add drained broccoli and stir well', 'place in lightly buttered casserole dish and top with grated cheese and cracker crums', 'bake at 350 for 30-35 minutes or until hot throughout and bubbly']","['frozen broccoli', 'cream cheese', 'dry onion soup mix', 'sour cream', 'water chestnuts', 'cheddar cheese', 'ritz cracker crumbs']",,,"""1 cup frozen broccoli, 8 oz cream cheese, 2 tbsp dry onion soup mix, 1/2 cup sour cream, 1 cup water chestnuts, 1 cup cheddar cheese, 1/2 cup ritz cracker crumbs""","""240g frozen broccoli, 227g cream cheese, 30g dry onion soup mix, 120g sour cream, 240g water chestnuts, 240g cheddar cheese, 120g ritz cracker crumbs"""
"['mix all the ingredients using a blender', 'pour into popsicle molds', 'freeze and enjoy !']","['milk', 'frozen juice concentrate', 'plain yogurt']",,,"""1 cup milk, 1/2 cup frozen juice concentrate, 1/2 cup plain yogurt""","""240g milk, 120g frozen juice concentrate, 120g plain yogurt"""
"['a variant on the theme: in the swiss canton of nidwalden , aelplermagrone is prepared with equal amounts of macaroni and potatoes', 'dried apple slices are traditionally served as a side dish', 'bring the milk and one tablespoon of salt to a boil', 'add the noodles , reduce the heat , and cook over a low heat until done , stirring occasionally', 'the noodles should absorb enough milk so that the dish is still moist', 'while the pasta is cooking gently saute the onions in butter , and garlic cloves , keeps it low and slow so as not to burn the onion or garlic , which would make it bitter', 'empty the noodles into a pre-heated bowl: mix in cheese and pepper', 'top with onions which have been sauteed in butter , and garlic cloves', 'the aelplermagrone can be served at this point: often a green salad is served alongside', 'but if you prefer , you can also turn the mixture into a casserole and bake it in the oven long enough to brown the top nicely -- usually about twenty minutes at 400 f / 200 c']","['milk', 'salt', 'macaroni', 'cheese', 'fresh coarse ground black pepper', 'butter', 'onions', 'garlic cloves']",,,"""1 cup milk, 1 tsp salt, 1 cup macaroni, 1 cup cheese, 1 tsp black pepper, 2 tbsp butter, 1 medium onion, 2 cloves garlic""","""240g milk, 5g salt, 200g macaroni, 240g cheese, 5g black pepper, 30g butter, 200g onion, 10g garlic"""
"[""i had previously browned and drained the ground beef and had it in the fridge , if you don't have this leftover , brown ground beef first in a nonstick skillet , drain off fat really well"", 'i use a pile of paper towels to soak up the fat', 'place ground beef in a large pot', 'stir in all other ingredients except the sugar', 'bring to a boil , stirring occasionally', 'turn heat down to low and simmer uncovered or covered for about 30 minutes or so to let the flavors mix , stirring occasionally', 'taste the sauce now and then and add more onions or garlic to taste', 'add a little sugar to neutralize the acidity of the tomatoes during the simmering', 'serve over hot spaghetti noodles', 'the sauce should be fairly thick , not runny , so as you add in the ingredients , use more or less of the prego as needed', 'if too thick , add a little water , more prego , or more stewed tomatoes with juice', 'when i made mine , it was the consistency of chili', 'this makes a pretty decent batch , can feed 2-4 depending on how much everyone eats in a serving']","['stewed tomatoes', 'prego spaghetti sauce', 'garlic', 'ground beef', 'white onion', 'granulated sugar']",,,"""1 cup stewed tomatoes, 1 cup prego spaghetti sauce, 2 cloves garlic, 1 pound ground beef, 1/2 cup white onion, 2 tbsp granulated sugar""","""240g stewed tomatoes, 240g prego spaghetti sauce, 10g garlic, 450g ground beef, 120g white onion, 30g granulated sugar"""
"['whip all ingredients together until firm peaks form', 'cover leftovers tightly , preferably in an air-tight plastic container', 'this stays the same consistency until used', 'it will keep for a week in the fridge without deflating']","['whipping cream', 'vanilla instant pudding mix', 'powdered sugar', 'vanilla extract']",,,"""1 cup whipping cream, 2 tbsp vanilla instant pudding mix, 2 cups powdered sugar, 1 tsp vanilla extract""","""240g whipping cream, 30g vanilla instant pudding mix, 400g powdered sugar, 5g vanilla extract"""
"['preheat oven to 350 degrees', 'mix together the cake mix , pudding , nutmeg and cinnamon', 'add eggs , oil and water to this mixture', 'mix on medium speed for 1 minute', 'add the pineapple , carrots , pecans and coconut', 'blend well', 'pour into a greased 9 inch round cake pan', 'bake 25 to 30 minutes , until tooth pick inserted in the center comes out clean']","['yellow cake mix', 'vanilla instant pudding mix', 'nutmeg', 'cinnamon', 'eggs', 'oil', 'water', 'crushed pineapple', 'carrot', 'pecans', 'coconut']",,,"""1 box yellow cake mix, 1 packet vanilla instant pudding mix, 1/4 tsp nutmeg, 1/4 tsp cinnamon, 2 eggs, 1/4 cup oil, 1 cup water, 1 cup crushed pineapple, 2 medium carrots, 1/4 cup pecans, 2 tbsp coconut""","""240g yellow cake mix, 30g vanilla instant pudding mix, 6g nutmeg, 6g cinnamon, 120g eggs, 60g oil, 240g water, 240g crushed pineapple, 2x60g medium carrots, 60g pecans, 30g coconut"""
